Produto_ID,Nome,Categoria,Cor,Descrição,Tamanho,Preço,Custo_Aquisição,Imagem
22,Adipisci,Calçado,Cinzento,Atque qui commodi dolorum voluptates totam.,45,96.81,42.18,https://source.unsplash.com/200x200/?calçado
23,Tempore,Calçado,Preto,Eos rerum expedita quos.,42,92.46,22.17,https://source.unsplash.com/200x200/?calçado
24,Ipsa,Calçado,Cinzento,Mollitia vitae sapiente magnam.,43,53.33,41.47,https://source.unsplash.com/200x200/?calçado
25,Sequi,Calçado,Preto,Maiores est nemo temporibus architecto laudantium tempore doloremque.,41,85.79,45.85,https://source.unsplash.com/200x200/?calçado
26,Repudiandae,Calçado,Branco,Quae ad neque at nobis expedita.,40,89.67,16.57,https://source.unsplash.com/200x200/?calçado
27,Commodi,Calçado,Vermelho,Voluptate amet rerum quae neque perspiciatis.,35,98.15,43.41,https://source.unsplash.com/200x200/?calçado
28,Dicta,Roupas,Rosa,Fuga enim quis praesentium nemo corrupti recusandae necessitatibus.,L,56.35,18.1,https://source.unsplash.com/200x200/?roupas
29,Eaque,Calçado,Rosa,Ex voluptates velit.,44,67.21,33.69,https://source.unsplash.com/200x200/?calçado
30,Quasi,Roupas,Laranja,Laudantium error non.,XS,29.07,15.68,https://source.unsplash.com/200x200/?roupas
31,Veritatis,Roupas,Verde,Cum accusantium enim.,M,93.96,47.52,https://source.unsplash.com/200x200/?roupas
32,Ut,Calçado,Azul,Expedita iure perferendis voluptatibus illo laboriosam consectetur.,39,82.75,30.22,https://source.unsplash.com/200x200/?calçado
33,Ea,Roupas,Cinzento,Est aliquid omnis amet deleniti laboriosam sed.,XL,89.33,49.24,https://source.unsplash.com/200x200/?roupas
34,Voluptatum,Calçado,Cinzento,Quam eum ducimus laborum.,40,54.18,11.18,https://source.unsplash.com/200x200/?calçado
35,Quam,Roupas,Preto,Veniam corporis ipsa eveniet.,L,98.33,16.94,https://source.unsplash.com/200x200/?roupas
36,Quas,Roupas,Rosa,Architecto illum culpa quod.,L,47.92,28.87,https://source.unsplash.com/200x200/?roupas
37,Corrupti,Calçado,Vermelho,Perspiciatis et quidem cum molestias possimus vero.,40,80.72,49.59,https://source.unsplash.com/200x200/?calçado
38,Harum,Roupas,Laranja,Culpa reprehenderit exercitationem cupiditate voluptatibus eligendi ea mollitia.,XS,63.0,20.96,https://source.unsplash.com/200x200/?roupas
39,Error,Calçado,Laranja,Consectetur cumque et.,43,78.22,33.97,https://source.unsplash.com/200x200/?calçado
40,Corrupti,Calçado,Rosa,Harum aspernatur dolorem molestias vel corrupti.,45,61.86,41.64,https://source.unsplash.com/200x200/?calçado
41,Ut,Roupas,Amarelo,Voluptatum quae eius repudiandae sit.,S,64.73,38.84,https://source.unsplash.com/200x200/?roupas
42,Esse,Roupas,Amarelo,Corporis possimus qui blanditiis assumenda consequuntur.,XS,36.66,13.08,https://source.unsplash.com/200x200/?roupas
43,Minima,Roupas,Rosa,Natus cumque deleniti dolorem libero nesciunt nam.,M,76.33,12.39,https://source.unsplash.com/200x200/?roupas
44,Similique,Calçado,Laranja,Dolores aliquam pariatur autem error.,35,72.4,16.37,https://source.unsplash.com/200x200/?calçado
45,Voluptates,Calçado,Laranja,Fugit provident molestias officiis.,40,81.63,14.99,https://source.unsplash.com/200x200/?calçado
46,Quos,Roupas,Cinzento,Quisquam aspernatur vitae quo.,XXL,42.76,45.4,https://source.unsplash.com/200x200/?roupas
47,Ex,Calçado,Roxo,Magni temporibus adipisci facilis voluptatum.,44,75.8,23.22,https://source.unsplash.com/200x200/?calçado
48,Voluptatibus,Roupas,Preto,Aperiam adipisci saepe debitis recusandae.,XS,84.77,32.99,https://source.unsplash.com/200x200/?roupas
49,Esse,Roupas,Amarelo,Quisquam sunt corrupti quia nam unde aut.,XS,60.69,32.91,https://source.unsplash.com/200x200/?roupas
50,Facere,Roupas,Rosa,Est officia officiis quos ipsa quasi.,XL,68.09,34.05,https://source.unsplash.com/200x200/?roupas
51,Ipsa,Calçado,Azul,Consequatur deserunt laborum incidunt non repellendus.,42,33.09,48.36,https://source.unsplash.com/200x200/?calçado
52,Voluptate,Roupas,Vermelho,Non accusamus sit eius quo aperiam.,XS,80.09,24.4,https://source.unsplash.com/200x200/?roupas
53,Est,Calçado,Roxo,Distinctio dolor perferendis fuga culpa quisquam.,45,49.09,39.82,https://source.unsplash.com/200x200/?calçado
54,Consequatur,Calçado,Vermelho,Rem sit praesentium commodi nisi omnis id fuga.,36,79.71,21.38,https://source.unsplash.com/200x200/?calçado
55,Eligendi,Calçado,Roxo,Voluptatum fugit est reiciendis provident.,39,67.55,44.49,https://source.unsplash.com/200x200/?calçado
56,Placeat,Calçado,Cinzento,Libero quasi eaque quaerat veniam quia.,36,47.17,37.98,https://source.unsplash.com/200x200/?calçado
57,Necessitatibus,Roupas,Preto,Voluptas similique molestias enim voluptas asperiores.,XL,77.27,49.2,https://source.unsplash.com/200x200/?roupas
58,Fuga,Roupas,Vermelho,Facere recusandae voluptatem voluptate nostrum.,XS,84.69,20.81,https://source.unsplash.com/200x200/?roupas
59,Quisquam,Roupas,Verde,Aut facere officia nobis deserunt placeat modi.,XS,78.73,29.91,https://source.unsplash.com/200x200/?roupas
60,Nulla,Calçado,Laranja,Culpa eius iste consectetur voluptas ad assumenda.,43,80.08,14.56,https://source.unsplash.com/200x200/?calçado
61,Distinctio,Calçado,Preto,Magnam autem impedit.,44,88.57,40.01,https://source.unsplash.com/200x200/?calçado
62,Laudantium,Roupas,Preto,Esse mollitia distinctio hic.,XL,65.97,46.61,https://source.unsplash.com/200x200/?roupas
63,Sequi,Roupas,Cinzento,Quis quisquam assumenda iste temporibus rem.,XS,43.02,42.76,https://source.unsplash.com/200x200/?roupas
64,In,Roupas,Azul,Labore numquam culpa cumque.,S,94.43,30.59,https://source.unsplash.com/200x200/?roupas
65,Culpa,Calçado,Amarelo,Ex cupiditate maxime earum voluptate nemo amet.,35,61.74,26.14,https://source.unsplash.com/200x200/?calçado
66,Cumque,Calçado,Preto,Quasi nulla ut ipsam sed blanditiis.,36,23.93,44.84,https://source.unsplash.com/200x200/?calçado
67,Nesciunt,Calçado,Azul,Omnis error quas.,38,36.78,41.39,https://source.unsplash.com/200x200/?calçado
68,Incidunt,Roupas,Amarelo,Odit eos adipisci labore id.,XL,78.5,35.66,https://source.unsplash.com/200x200/?roupas
69,Corrupti,Roupas,Branco,Neque necessitatibus sunt.,M,30.33,44.43,https://source.unsplash.com/200x200/?roupas
70,Consequuntur,Calçado,Amarelo,Eius exercitationem rerum nobis.,44,38.34,29.03,https://source.unsplash.com/200x200/?calçado
71,In,Calçado,Rosa,Alias porro fugit reiciendis maiores similique fuga.,39,52.53,17.69,https://source.unsplash.com/200x200/?calçado
72,Tempore,Roupas,Preto,Facere quam harum sapiente.,M,85.52,33.58,https://source.unsplash.com/200x200/?roupas
73,Recusandae,Calçado,Azul,Voluptatem amet commodi ipsa accusantium iste.,39,20.68,16.81,https://source.unsplash.com/200x200/?calçado
74,Adipisci,Roupas,Cinzento,Provident sit fugit distinctio animi laborum.,M,77.86,13.61,https://source.unsplash.com/200x200/?roupas
75,Veritatis,Calçado,Amarelo,Corporis accusamus at molestiae maiores reiciendis expedita.,45,34.29,47.09,https://source.unsplash.com/200x200/?calçado
76,Laboriosam,Calçado,Preto,Officia ut harum cum minima.,39,64.83,26.29,https://source.unsplash.com/200x200/?calçado
77,Aliquam,Roupas,Cinzento,Culpa voluptatum neque cumque ipsa.,M,57.05,28.77,https://source.unsplash.com/200x200/?roupas
78,Eum,Roupas,Roxo,Autem quisquam incidunt.,S,89.64,43.12,https://source.unsplash.com/200x200/?roupas
79,Officiis,Roupas,Cinzento,Nobis iure corrupti recusandae similique fugit placeat magni.,M,22.33,30.55,https://source.unsplash.com/200x200/?roupas
80,Temporibus,Roupas,Preto,At accusamus ipsa.,L,63.68,16.89,https://source.unsplash.com/200x200/?roupas
81,Ad,Calçado,Rosa,Rem dolorum quidem.,38,56.58,17.05,https://source.unsplash.com/200x200/?calçado
82,Labore,Calçado,Verde,Enim nam maiores facilis accusantium.,43,59.54,14.39,https://source.unsplash.com/200x200/?calçado
83,Voluptatem,Calçado,Branco,Incidunt natus dolor sed vero facilis sapiente fuga.,37,46.75,46.37,https://source.unsplash.com/200x200/?calçado
84,Distinctio,Calçado,Rosa,Quidem ipsum delectus labore.,44,42.68,30.71,https://source.unsplash.com/200x200/?calçado
85,Ab,Calçado,Preto,Voluptate magni neque recusandae quaerat repellat praesentium.,38,88.26,27.34,https://source.unsplash.com/200x200/?calçado
86,Quod,Roupas,Preto,Quia accusamus amet soluta expedita ullam quae.,XXL,88.68,14.08,https://source.unsplash.com/200x200/?roupas
87,Labore,Calçado,Amarelo,Officia nostrum exercitationem illo quod dolorem.,44,42.83,25.98,https://source.unsplash.com/200x200/?calçado
88,Totam,Calçado,Vermelho,Voluptas accusantium nostrum nisi veritatis animi.,44,70.95,46.69,https://source.unsplash.com/200x200/?calçado
89,Deserunt,Calçado,Cinzento,Assumenda cupiditate ducimus aspernatur minima.,37,40.16,10.3,https://source.unsplash.com/200x200/?calçado
90,Laborum,Calçado,Vermelho,Repellat ullam occaecati ipsam.,39,45.36,44.18,https://source.unsplash.com/200x200/?calçado
91,Quasi,Calçado,Verde,Labore recusandae quam sapiente est.,39,20.08,32.67,https://source.unsplash.com/200x200/?calçado
92,Architecto,Calçado,Laranja,Iure nisi tempore id magnam.,41,99.69,12.91,https://source.unsplash.com/200x200/?calçado
93,Dolorem,Roupas,Laranja,Sunt itaque repellendus dolor necessitatibus eveniet saepe.,L,78.25,22.19,https://source.unsplash.com/200x200/?roupas
94,Illum,Calçado,Verde,Nobis facere vitae unde earum doloremque.,45,54.24,38.08,https://source.unsplash.com/200x200/?calçado
95,Est,Roupas,Azul,Eum deleniti assumenda blanditiis velit.,XL,85.39,45.8,https://source.unsplash.com/200x200/?roupas
96,Quo,Calçado,Preto,Numquam ipsa cupiditate qui quam.,39,64.42,33.94,https://source.unsplash.com/200x200/?calçado
97,Voluptate,Roupas,Amarelo,Cupiditate hic libero laudantium.,XS,66.89,49.43,https://source.unsplash.com/200x200/?roupas
98,Et,Calçado,Roxo,Hic praesentium perspiciatis.,36,88.45,14.66,https://source.unsplash.com/200x200/?calçado
99,Totam,Roupas,Preto,Suscipit ad neque debitis earum neque animi voluptatibus.,S,20.32,49.86,https://source.unsplash.com/200x200/?roupas
100,Provident,Roupas,Laranja,Et soluta ipsam.,M,87.45,40.77,https://source.unsplash.com/200x200/?roupas
101,Culpa,Roupas,Preto,Veniam commodi perferendis a quasi exercitationem.,XS,56.08,21.72,https://source.unsplash.com/200x200/?roupas
102,Ad,Calçado,Laranja,Aut nobis perspiciatis quod.,40,76.15,19.95,https://source.unsplash.com/200x200/?calçado
103,Iure,Calçado,Amarelo,Harum sapiente iste sequi.,38,23.46,37.7,https://source.unsplash.com/200x200/?calçado
104,Earum,Roupas,Laranja,Ut iste harum.,XS,75.87,13.83,https://source.unsplash.com/200x200/?roupas
105,Unde,Calçado,Rosa,Eveniet sequi id magni id quaerat natus.,38,67.79,26.47,https://source.unsplash.com/200x200/?calçado
106,Adipisci,Calçado,Vermelho,Facilis hic reprehenderit beatae.,45,30.2,34.39,https://source.unsplash.com/200x200/?calçado
107,Illum,Calçado,Preto,Deserunt nisi quas voluptatem ipsam recusandae similique.,37,44.93,43.05,https://source.unsplash.com/200x200/?calçado
108,Doloremque,Calçado,Laranja,Hic error impedit fugit temporibus dicta.,37,45.84,21.13,https://source.unsplash.com/200x200/?calçado
109,Ad,Roupas,Rosa,Officiis voluptas velit voluptas maiores facilis similique.,XS,50.97,16.17,https://source.unsplash.com/200x200/?roupas
110,Laboriosam,Roupas,Rosa,Voluptate dignissimos alias.,XS,70.42,27.58,https://source.unsplash.com/200x200/?roupas
111,Quaerat,Roupas,Cinzento,Quis deleniti neque quaerat ad.,XXL,25.85,42.11,https://source.unsplash.com/200x200/?roupas
112,Voluptates,Calçado,Cinzento,Illum alias error harum sit.,35,43.6,45.98,https://source.unsplash.com/200x200/?calçado
113,Et,Roupas,Preto,Ab quibusdam nihil odio aut saepe.,XL,37.66,33.96,https://source.unsplash.com/200x200/?roupas
114,Amet,Roupas,Preto,Ut perferendis ipsum expedita omnis inventore.,S,35.47,21.7,https://source.unsplash.com/200x200/?roupas
115,Eius,Calçado,Branco,Ex neque quisquam recusandae.,41,23.79,41.32,https://source.unsplash.com/200x200/?calçado
116,Enim,Calçado,Cinzento,Eligendi sapiente ipsa.,36,62.54,32.09,https://source.unsplash.com/200x200/?calçado
117,Libero,Roupas,Branco,Reprehenderit dolorum illum ducimus iste laborum quos corrupti.,XXL,65.89,16.78,https://source.unsplash.com/200x200/?roupas
118,Corrupti,Roupas,Amarelo,Natus delectus quas aspernatur.,M,21.18,14.45,https://source.unsplash.com/200x200/?roupas
119,Voluptas,Calçado,Rosa,Sequi assumenda distinctio officiis.,45,90.25,39.25,https://source.unsplash.com/200x200/?calçado
120,At,Roupas,Preto,Libero molestiae qui in a magnam nulla id.,M,33.73,18.95,https://source.unsplash.com/200x200/?roupas
121,Facere,Calçado,Roxo,Quae harum quia.,35,58.35,17.95,https://source.unsplash.com/200x200/?calçado
122,Consequuntur,Calçado,Roxo,Explicabo dignissimos veritatis.,36,78.92,47.92,https://source.unsplash.com/200x200/?calçado
123,Eaque,Roupas,Preto,Beatae culpa ab.,XL,61.33,10.47,https://source.unsplash.com/200x200/?roupas
124,Corporis,Calçado,Vermelho,Accusamus nemo tempora.,41,43.71,12.52,https://source.unsplash.com/200x200/?calçado
125,Sapiente,Roupas,Vermelho,Nesciunt tempore optio eos.,XL,84.66,45.78,https://source.unsplash.com/200x200/?roupas
126,Beatae,Calçado,Roxo,Voluptatibus adipisci inventore possimus in.,39,22.12,20.97,https://source.unsplash.com/200x200/?calçado
127,Iusto,Calçado,Branco,Nemo eos itaque atque tempore tenetur.,38,93.65,42.49,https://source.unsplash.com/200x200/?calçado
128,Culpa,Roupas,Amarelo,Ipsum quae ut earum magnam sunt.,XL,38.44,29.26,https://source.unsplash.com/200x200/?roupas
129,Incidunt,Calçado,Laranja,A in itaque ipsum nobis sunt.,39,73.8,34.95,https://source.unsplash.com/200x200/?calçado
130,Laboriosam,Roupas,Preto,Labore laudantium perferendis deserunt.,XXL,63.49,48.84,https://source.unsplash.com/200x200/?roupas
131,Accusantium,Calçado,Roxo,Tempora ipsa accusantium.,37,69.61,35.05,https://source.unsplash.com/200x200/?calçado
132,Aperiam,Calçado,Rosa,Modi rerum et culpa.,41,21.4,35.89,https://source.unsplash.com/200x200/?calçado
133,Veritatis,Roupas,Azul,Ab dignissimos quas natus.,M,93.9,43.46,https://source.unsplash.com/200x200/?roupas
134,Doloribus,Roupas,Verde,Aperiam libero nihil reiciendis provident.,XXL,32.61,38.79,https://source.unsplash.com/200x200/?roupas
135,Saepe,Roupas,Verde,Aliquam aspernatur neque molestiae quaerat facere dicta.,M,88.74,31.14,https://source.unsplash.com/200x200/?roupas
136,Architecto,Calçado,Preto,Veritatis doloribus quia harum.,38,20.91,37.69,https://source.unsplash.com/200x200/?calçado
137,Debitis,Roupas,Vermelho,Doloribus blanditiis cupiditate inventore numquam.,M,38.7,21.12,https://source.unsplash.com/200x200/?roupas
138,Aspernatur,Calçado,Amarelo,Impedit unde eveniet ea eum.,38,30.63,25.4,https://source.unsplash.com/200x200/?calçado
139,Iste,Roupas,Azul,Nemo et nemo praesentium veniam quia nulla nisi.,M,24.82,36.56,https://source.unsplash.com/200x200/?roupas
140,Tenetur,Calçado,Amarelo,Quos reprehenderit numquam pariatur.,43,68.34,32.04,https://source.unsplash.com/200x200/?calçado
141,Quidem,Calçado,Preto,Dolores praesentium fugiat blanditiis harum.,36,79.73,28.12,https://source.unsplash.com/200x200/?calçado
142,Placeat,Roupas,Rosa,Dolores suscipit quos eligendi dolore neque repellendus.,M,84.08,30.74,https://source.unsplash.com/200x200/?roupas
143,Laboriosam,Roupas,Laranja,Quo nesciunt eligendi ad ducimus.,XS,60.37,21.52,https://source.unsplash.com/200x200/?roupas
144,Laborum,Roupas,Verde,Fuga aliquam praesentium incidunt.,L,39.45,29.24,https://source.unsplash.com/200x200/?roupas
145,Sit,Calçado,Laranja,Harum quia eius ipsum.,42,66.56,34.85,https://source.unsplash.com/200x200/?calçado
146,Eum,Roupas,Amarelo,Ea tenetur alias soluta cumque quidem aliquam.,M,86.45,28.4,https://source.unsplash.com/200x200/?roupas
147,Blanditiis,Roupas,Amarelo,Aperiam occaecati accusamus possimus dolores alias.,XS,84.24,49.04,https://source.unsplash.com/200x200/?roupas
148,Aperiam,Roupas,Azul,Molestiae vel corrupti mollitia provident odit.,XXL,65.72,12.36,https://source.unsplash.com/200x200/?roupas
149,Fugit,Roupas,Preto,Ex consectetur aliquid error eius repudiandae qui unde.,M,84.89,43.26,https://source.unsplash.com/200x200/?roupas
150,Sit,Roupas,Laranja,Explicabo tenetur quam dolores consequuntur maiores tenetur.,M,34.18,16.7,https://source.unsplash.com/200x200/?roupas
151,Eos,Calçado,Rosa,Libero atque culpa eos.,42,63.63,11.26,https://source.unsplash.com/200x200/?calçado
152,Nam,Calçado,Rosa,Odit cupiditate perspiciatis.,35,75.69,35.24,https://source.unsplash.com/200x200/?calçado
153,Quidem,Roupas,Vermelho,Et facere quas nam.,M,67.34,38.35,https://source.unsplash.com/200x200/?roupas
154,Soluta,Roupas,Branco,Autem voluptate modi.,XXL,60.46,39.25,https://source.unsplash.com/200x200/?roupas
155,Consequuntur,Roupas,Preto,Fugiat eos eveniet id.,XL,35.62,26.75,https://source.unsplash.com/200x200/?roupas
156,Ratione,Roupas,Preto,Ipsum magni culpa.,XS,57.77,22.59,https://source.unsplash.com/200x200/?roupas
157,Eaque,Roupas,Laranja,Error debitis sint temporibus hic ratione.,S,62.33,29.77,https://source.unsplash.com/200x200/?roupas
158,Error,Calçado,Preto,Quis voluptatibus nam occaecati adipisci dolorum aliquam veniam.,40,46.55,18.21,https://source.unsplash.com/200x200/?calçado
159,Consectetur,Calçado,Roxo,Harum at amet omnis officiis minima eius.,39,36.17,28.25,https://source.unsplash.com/200x200/?calçado
160,Perspiciatis,Calçado,Cinzento,Pariatur tenetur totam suscipit dolorum quod non rem.,42,61.09,18.96,https://source.unsplash.com/200x200/?calçado
161,Eius,Calçado,Rosa,Quaerat impedit libero quae.,45,25.95,11.05,https://source.unsplash.com/200x200/?calçado
162,Nihil,Roupas,Vermelho,Fugit tempore commodi at aliquid quis eum itaque.,M,63.65,28.09,https://source.unsplash.com/200x200/?roupas
163,Voluptatibus,Roupas,Cinzento,Omnis aliquam placeat consequatur optio eaque perspiciatis.,M,83.27,19.28,https://source.unsplash.com/200x200/?roupas
164,Tenetur,Roupas,Preto,Ea voluptatum blanditiis ratione aliquam quas architecto.,XL,66.02,20.49,https://source.unsplash.com/200x200/?roupas
165,Ipsam,Calçado,Rosa,Numquam voluptates itaque voluptates beatae aliquam aliquam.,37,34.47,48.27,https://source.unsplash.com/200x200/?calçado
166,Asperiores,Calçado,Laranja,Sint molestiae occaecati.,36,93.45,30.74,https://source.unsplash.com/200x200/?calçado
167,Culpa,Roupas,Vermelho,Numquam atque maxime dolor perspiciatis.,L,66.72,12.78,https://source.unsplash.com/200x200/?roupas
168,Ullam,Roupas,Verde,Delectus vitae culpa aut.,M,88.07,47.62,https://source.unsplash.com/200x200/?roupas
169,Voluptates,Calçado,Vermelho,Nihil quisquam aliquid magni voluptates laudantium.,41,41.6,24.36,https://source.unsplash.com/200x200/?calçado
170,Laboriosam,Roupas,Laranja,Quo neque vitae.,XL,93.78,12.66,https://source.unsplash.com/200x200/?roupas
171,Dicta,Calçado,Roxo,Nemo cum officiis aut perspiciatis cupiditate.,40,59.72,40.31,https://source.unsplash.com/200x200/?calçado
172,Fuga,Roupas,Branco,Facilis suscipit quisquam odit eum.,XS,94.32,32.22,https://source.unsplash.com/200x200/?roupas
173,Iste,Calçado,Laranja,Magni dolores laborum sunt possimus.,36,43.25,16.43,https://source.unsplash.com/200x200/?calçado
174,Ex,Roupas,Vermelho,Exercitationem corrupti veniam ea necessitatibus.,XXL,36.48,37.61,https://source.unsplash.com/200x200/?roupas
175,Veniam,Roupas,Azul,Doloribus pariatur eveniet cum.,XS,79.49,42.25,https://source.unsplash.com/200x200/?roupas
176,Illum,Roupas,Azul,Quasi molestiae laboriosam perspiciatis rem quas.,XS,90.87,41.99,https://source.unsplash.com/200x200/?roupas
177,Modi,Roupas,Branco,Exercitationem ad sed quaerat voluptatibus.,M,61.08,23.64,https://source.unsplash.com/200x200/?roupas
178,Omnis,Roupas,Amarelo,Nemo est exercitationem odit perspiciatis.,L,82.56,31.34,https://source.unsplash.com/200x200/?roupas
179,Expedita,Calçado,Vermelho,Totam perspiciatis dicta libero.,36,69.09,39.81,https://source.unsplash.com/200x200/?calçado
180,Accusantium,Calçado,Vermelho,Quasi omnis iste consequatur molestias.,38,62.11,30.71,https://source.unsplash.com/200x200/?calçado
181,Explicabo,Calçado,Azul,Perferendis aliquid culpa ratione ad.,45,49.34,49.7,https://source.unsplash.com/200x200/?calçado
182,Quibusdam,Roupas,Verde,Cum facilis quam architecto.,M,84.98,18.9,https://source.unsplash.com/200x200/?roupas
183,Impedit,Roupas,Verde,Reiciendis architecto ipsam quae excepturi id facere.,S,23.0,19.03,https://source.unsplash.com/200x200/?roupas
184,Id,Roupas,Laranja,Minus odit labore dignissimos.,S,93.61,21.29,https://source.unsplash.com/200x200/?roupas
185,Enim,Roupas,Azul,Architecto quod minus quod ipsum.,XL,43.33,29.78,https://source.unsplash.com/200x200/?roupas
186,Animi,Roupas,Roxo,Commodi reprehenderit quaerat modi tempora quae.,XXL,70.77,24.57,https://source.unsplash.com/200x200/?roupas
187,Omnis,Roupas,Cinzento,In perferendis quia consequatur incidunt.,XXL,93.98,11.68,https://source.unsplash.com/200x200/?roupas
188,Totam,Calçado,Verde,Cum aspernatur quod neque fuga accusantium.,39,67.73,26.26,https://source.unsplash.com/200x200/?calçado
189,Velit,Roupas,Vermelho,Nam expedita temporibus hic impedit recusandae.,L,46.15,20.39,https://source.unsplash.com/200x200/?roupas
190,Sunt,Calçado,Preto,Incidunt fugit fugiat fuga similique corrupti ab.,38,53.33,31.75,https://source.unsplash.com/200x200/?calçado
191,Excepturi,Roupas,Preto,Culpa explicabo unde libero ratione.,XL,38.17,28.27,https://source.unsplash.com/200x200/?roupas
192,Adipisci,Calçado,Laranja,Voluptatum odit temporibus rem necessitatibus accusamus odit culpa.,45,79.51,48.18,https://source.unsplash.com/200x200/?calçado
193,Saepe,Roupas,Branco,Porro minus in dolorum voluptate occaecati.,M,39.86,49.68,https://source.unsplash.com/200x200/?roupas
194,Modi,Roupas,Vermelho,Soluta voluptas labore laborum saepe.,XL,89.43,30.86,https://source.unsplash.com/200x200/?roupas
195,Libero,Calçado,Cinzento,Repellendus iste saepe aut perspiciatis vitae recusandae.,36,34.73,41.58,https://source.unsplash.com/200x200/?calçado
196,Quas,Roupas,Rosa,Repellendus voluptatibus consequuntur molestias ullam repellendus quos.,XS,68.19,30.46,https://source.unsplash.com/200x200/?roupas
197,Maiores,Roupas,Laranja,Omnis cumque asperiores.,M,86.48,37.54,https://source.unsplash.com/200x200/?roupas
198,Id,Roupas,Laranja,Incidunt exercitationem optio eum.,M,99.92,43.18,https://source.unsplash.com/200x200/?roupas
199,Eum,Calçado,Roxo,Eius sed fugit mollitia soluta.,41,52.06,48.01,https://source.unsplash.com/200x200/?calçado
200,Eum,Calçado,Laranja,Et quas numquam eaque cumque quod corporis culpa.,42,27.09,31.76,https://source.unsplash.com/200x200/?calçado
201,Aperiam,Calçado,Rosa,Saepe possimus iusto distinctio tempore tempora.,38,91.44,22.85,https://source.unsplash.com/200x200/?calçado
202,Delectus,Roupas,Rosa,Ipsam eos omnis quibusdam unde blanditiis.,S,54.14,34.86,https://source.unsplash.com/200x200/?roupas
203,Blanditiis,Roupas,Rosa,Dicta odit cupiditate fugiat beatae velit aliquid provident.,S,81.76,28.74,https://source.unsplash.com/200x200/?roupas
204,Eveniet,Calçado,Cinzento,Fugit impedit maiores ducimus dolorum natus laudantium.,39,88.09,31.64,https://source.unsplash.com/200x200/?calçado
205,Rem,Roupas,Amarelo,Eos deleniti eius dicta repellendus.,M,97.59,32.0,https://source.unsplash.com/200x200/?roupas
206,Modi,Roupas,Branco,Quas culpa odit facilis expedita cumque.,L,22.59,43.0,https://source.unsplash.com/200x200/?roupas
207,Dolorum,Calçado,Verde,Iusto minus natus reprehenderit numquam facere nemo.,39,58.58,25.32,https://source.unsplash.com/200x200/?calçado
208,Unde,Roupas,Azul,Exercitationem quibusdam in ab.,XS,61.2,49.77,https://source.unsplash.com/200x200/?roupas
